task_id,method,category,cvsr,object_f1,critical_recall,relation_f1,binding_f1,repair_success,fatal_violation,evidence_precision,replay_success,llm_calls,tool_calls,repair_rounds,tokens,cost_usd,latency_ms
TN01-v2-scene,SingleAgent-AllTools,scene,False,1.0,1.0,0.7273,0.0,,"['R5', 'R5']",1.0,0.625,3,19,0,3187,0.0005447399999999999,16672.4
TN01-v2-scene,SingleAgent-AllTools,scene,True,1.0,1.0,0.7692,0.0,,[],1.0,0.625,3,19,0,3284,0.0005719,12723.7
TN01-v2-scene,SingleAgent-AllTools,scene,False,1.0,1.0,0.8333,0.0,,"['R5', 'R5']",1.0,0.625,3,13,0,3458,0.00062062,14902.5
TN01-v2-scene,SingleAgent-AllTools,scene,False,1.0,1.0,0.7273,0.0,,"['R5', 'R5']",1.0,0.625,3,13,0,2987,0.00048874,10803.2
TN01-v2-scene,SingleAgent-AllTools,scene,False,0.973,1.0,0.6154,0.0,,[],1.0,0.6667,3,23,0,3358,0.00059094,13474.6
TN01-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,15756,0.0034223,112869.7
TN01-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,15005,0.00321412,144733.9
TN01-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,4,0,0,7230,0.00163576,61654.9
TN01-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,12129,0.00240786,96690.3
TN01-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,15038,0.0032256,106357.9
TN01-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0,1.0,0.7273,0.0,,"['R5', 'R5']",1.0,0.0,5,7,0,6433,0.00131278,106684.3
TN01-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0,1.0,0.7273,0.0,,[],1.0,0.0,5,7,0,5419,0.00102886,23920.8
